query_id,query_text,gold_id,gold_text,predicted_id,predicted_text,switch_band,has_lingala,n_switch_points,proposed_error_type,likely_cause,notes
cs_txt_001453,Bajeti ya batu imeongezeka augmente huu.,cs_txt_001454,Bajeti ya batu ndenge augmente huu.,cs_txt_000523,Bajeti ya afya imeongezeka augmente huu.,high,True,4,,,
cs_txt_005608,Bajeti ya afya imeongezeka mwaka annee.,cs_txt_005610,Bajeti ya afyae imeongezeka mwaka anneee.,cs_txt_008818,Bajeti ya afya imeongezeka mwaka annee.,low,True,2,,,
cs_txt_003163,Bajeti ya afya imeongezeka cette huu.,cs_txt_003165,Bajetie ya afya imeongezeka batu huu.,cs_txt_000523,Bajeti ya afya imeongezeka augmente huu.,low,True,2,,,
cs_txt_008323,Bajeti ya afya imeongezeka mwaka annee.,cs_txt_008325,Bajeti ya afya imeongezeka mwakae annee.,cs_txt_008818,Bajeti ya afya imeongezeka mwaka annee.,low,True,2,,,
cs_txt_000868,Bajeti ya afya imeongezeka mwaka annee.,cs_txt_000869,Bajeti ya afya imeongezeka mwaka anneee.,cs_txt_005608,Bajeti ya afya imeongezeka mwaka annee.,low,True,2,,,
cs_txt_008818,Bajeti ya afya imeongezeka mwaka annee.,cs_txt_008820,Bajeti ya afya imeongezeka mwaka ndenge.,cs_txt_000868,Bajeti ya afya imeongezeka mwaka annee.,low,True,2,,,
cs_txt_006511,Leo tunaongea kuhusu services za ya mjini.,cs_txt_006513,Leo tunaongeae kuhusu servicese za ya mjini.,cs_txt_004741,Leo tunaongea kuhusu services za maji mjini.,low,True,2,,,
cs_txt_002047,Wananchi wanataka soki na meilleures bora.,cs_txt_002049,Wananchi wanataka soki batu meilleures bora.,cs_txt_004747,Wananchi wanataka usalama na meilleures bora.,low,True,2,,,
cs_txt_003925,Mkutano ya hadhara lieu jana jioni.,cs_txt_003927,Mkutano ya ndenge lieu jana jioni.,cs_txt_002980,Mkutano wa hadhara lieu jana jioni.,low,True,2,,,
cs_txt_004282,Wananchi wanataka soki na barabara routes.,cs_txt_004283,Wananchi wanatakae soki na barabara routes.,cs_txt_006757,Wananchi wanataka soki na barabara bora.,low,True,2,,,
cs_txt_006292,Wananchi wanataka securite na barabara soki.,cs_txt_006293,Wananchi wanataka securite nae barabara soki.,cs_txt_008257,Wananchi wanataka securite na barabara bora.,low,True,1,,,
cs_txt_007945,Mkutano wa ba ulifanyika hier jioni.,cs_txt_007947,Mkutano wa ba ulifanyika hiere jionie.,cs_txt_002140,Mkutano wa hadhara ulifanyika hier jioni.,low,True,2,,,
